Title,Author,Conference Name (Book Title),Year,Abstract,url,Keywords,Source_File
Ensuring Fairness in Group Recommendations by Rank-Sensitive Balancing of Relevance,"Kaya, Mesut and Bridge, Derek and Tintarev, Nava",RECSYS,2020,"For group recommendations, one objective is to recommend an ordered set of items, a top-N, to a group such that each individual recommendation is relevant for everyone. A common way to do this is to select items on which the group can agree, using so-called ‘aggregation strategies’. One weakness of these aggregation strategies is that they select items independently of each other. They therefore cannot guarantee properties such as fairness, that apply to the set of recommendations as a whole. In this paper, we give a definition of fairness that ‘balances’ the relevance of the recommended items across the group members in a rank-sensitive way. Informally, an ordered set of recommended items is considered fair to a group if the relevance of the items in the top-N is balanced across the group members for each prefix of the top-N. In other words, the first item in the top-N should, as far as possible, balance the interests of all group members; the first two items taken together must do the same; also the first three; and so on up to N. In this paper, we formalize this notion of rank-sensitive balance and provide a greedy algorithm (GFAR) for finding a top-N set of group recommendations that satisfies our definition. We compare the performance of GFAR to five approaches from the literature on two datasets, one from each of the movie and music domains. We evaluate performance for 42 different configurations (two datasets, seven different group sizes, three different group types) and for ten evaluation metrics. We find that GFAR performs significantly better than all other algorithms around 43\% of the time; in only 10\% of cases are there algorithms that are significantly better than GFAR. Furthermore, GFAR performs particularly well in the most difficult cases, where groups are large and interests within the group diverge. We attribute GFAR’s success both to its rank-sensitivity and its way of balancing relevance. Current methods do not define fairness in a rank-sensitive way (although some achieve a degree of rank-sensitivity through the use of greedy algorithms) and none define balance in the way that we do.",https://doi.org/10.1145/3383313.3412232,"group recommendations, fairness",recsys2020.bib
Exploiting Performance Estimates for Augmenting Recommendation Ensembles,"Penha, Gustavo and Santos, Rodrygo L. T.",RECSYS,2020,"Ensembling multiple recommender systems via stacking has shown to be effective at improving collaborative recommendation. Recent work extends stacking to use additional user performance predictors (e.g., the total number of ratings made by the user) to help determine how much each base recommender should contribute to the ensemble. Nonetheless, despite the cost of handcrafting discriminative predictors, which typically requires deep knowledge of the strengths and weaknesses of each recommender in the ensemble, only minor improvements have been observed. To overcome this limitation, instead of engineering complex features to predict the performance of different recommenders for a given user, we propose to directly estimate these performances by leveraging the user’s own historical ratings. Experiments on real-world datasets from multiple domains demonstrate that using performance estimates as additional features can significantly improve the accuracy of state-of-the-art ensemblers, achieving nDCG@20 improvements by an average of 23\% over not using them.",https://doi.org/10.1145/3383313.3412264,"Recommender Systems, Performance Prediction, Performance Estimation, Learning to Rank, Ensembling",recsys2020.bib
Exploring Clustering of Bandits for Online Recommendation System,"Yang, Liu and Liu, Bo and Lin, Leyu and Xia, Feng and Chen, Kai and Yang, Qiang",RECSYS,2020,"Cluster-of-bandit policy leverages contextual bandits in a collaborative filtering manner and aids personalized services in the online recommendation system (RecSys). When facing insufficient observations, the cluster-of-bandit policy could achieve more outstanding performance because of knowledge sharing. Cluster-of-bandit policy aims to maximize the cumulative feedback, e.g., clicks, from users. Nevertheless, in the way of their goal exist two kinds of uncertainties. First, cluster-of-bandit algorithms make recommendations according to their uncertain estimation of user interests. Second, cluster-of-bandit algorithms transfer relevant knowledge upon uncertain and noisy user clusters. Existing algorithms only consider the first one, while leaving the latter one untouched. To address the two challenges together, in this paper, we propose the ClexB policy for online RecSys. On the one hand, ClexB estimates user clustering more accurately and with less uncertainty via explorable-clustering. On the other hand, ClexB also exploits and explores user interests by sharing information within and among user clusters. In summary, ClexB explores knowledge transfer and further aids the inferences about user interests. Besides, we provide extensive empirical experiments on both the synthetic and real-world datasets and regret analysis, further consolidating the superiority of ClexB.",https://doi.org/10.1145/3383313.3412250,"recommendation system, online learning, cluster-of-bandit",recsys2020.bib
FISSA: Fusing Item Similarity Models with Self-Attention Networks for Sequential Recommendation,"Lin, Jing and Pan, Weike and Ming, Zhong",RECSYS,2020,"Sequential recommendation has been a hot research topic because of its practicability and high accuracy by capturing the sequential information. As deep learning (DL) based methods being widely adopted to model the local and dynamic preferences beneath users’ behavior sequences, the modeling of users’ global and static preferences tends to be underestimated that usually, only some simple and crude users’ latent representations are introduced. Moreover, most existing methods hold an assumption that users’ intention can be fully captured by considering the historical behaviors, while neglect the possible uncertainty of users’ intention in reality, which may be influenced by the appearance of the candidate items to be recommended. In this paper, we thus focus on these two issues, i.e., the imperfect modeling of users’ global preferences in most DL-based sequential recommendation methods and the uncertainty of users’ intention brought by the candidate items, and propose a novel solution named fusing item similarity models with self-attention networks (FISSA) for sequential recommendation. Specifically, we treat the state-of-the-art self-attentive sequential recommendation (SASRec) model as the local representation learning module to capture the dynamic preferences beneath users’ behavior sequences in our FISSA, and further propose a global representation learning module to improve the modeling of users’ global preferences and a gating module that balances the local and global representations by taking the information of the candidate items into account. The global representation learning module can be seen as a location-based attention layer, which is effective to fit in well with the parallelization training process of the self-attention framework. The gating module calculates the weight by modeling the relationship among the candidate item, the recently interacted item and the global preference of each user using an MLP layer. Extensive empirical studies on five commonly used datasets show that our FISSA significantly outperforms eight state-of-the-art baselines in terms of two commonly used metrics.",https://doi.org/10.1145/3383313.3412247,"Sequential Recommendation, Self-Attention, Item Similarity Models, Gating Networks",recsys2020.bib
From the lab to production: A case study of session-based recommendations in the home-improvement domain,"Kouki, Pigi and Fountalis, Ilias and Vasiloglou, Nikolaos and Cui, Xiquan and Liberty, Edo and Al Jadda, Khalifeh",RECSYS,2020,"E-commerce applications rely heavily on session-based recommendation algorithms to improve the shopping experience of their customers. Recent progress in session-based recommendation algorithms shows great promise. However, translating that promise to real-world outcomes is a challenging task for several reasons, but mostly due to the large number and varying characteristics of the available models. In this paper, we discuss the approach and lessons learned from the process of identifying and deploying a successful session-based recommendation algorithm for a leading e-commerce application in the home-improvement domain. To this end, we initially evaluate fourteen session-based recommendation algorithms in an offline setting using eight different popular evaluation metrics on three datasets. The results indicate that offline evaluation does not provide enough insight to make an informed decision since there is no clear winning method on all metrics. Additionally, we observe that standard offline evaluation metrics fall short for this application. Specifically, they reward an algorithm only when it predicts the exact same item that the user clicked next or eventually purchased. In a practical scenario, however, there are near-identical products which, although they are assigned different identifiers, they should be considered as equally-good recommendations. To overcome these limitations, we perform an additional round of evaluation, where human experts provide both objective and subjective feedback for the recommendations of five algorithms that performed the best in the offline evaluation. We find that the experts’ opinion is oftentimes different from the offline evaluation results. Analysis of the feedback confirms that the performance of all models is significantly higher when we evaluate near-identical product recommendations as relevant. Finally, we run an A/B test with one of the models that performed the best in the human evaluation phase. The treatment model increased conversion rate by 15.6\% and revenue per visit by 18.5\% when compared with a leading third-party solution.",https://doi.org/10.1145/3383313.3412235,"session-based recommendations, evaluation using human experts, comparison of offline evaluation metrics with labels from human experts, A/B test",recsys2020.bib
Global and Local Differential Privacy for Collaborative Bandits,"Wang, Huazheng and Zhao, Qian and Wu, Qingyun and Chopra, Shubham and Khaitan, Abhinav and Wang, Hongning",RECSYS,2020,"Collaborative bandit learning has become an emerging focus for personalized recommendation. It leverages user dependence for joint model estimation and recommendation. As such online learning solutions directly learn from users, e.g., result clicks, they bring in new challenges in privacy protection. Despite the existence of recent studies about privacy in contextual bandit algorithms, how to efficiently protect user privacy in a collaborative bandit learning environment remains unknown. In this paper, we develop a general solution framework to achieve differential privacy in collaborative bandit algorithms, under the notion of global differential privacy and local differential privacy. The key idea is to inject noise in a bandit model’s sufficient statistics (either on server side to achieve global differential privacy or client side to achieve local differential privacy) and calibrate the noise scale with respect to the structure of collaboration among users. We study two popularly used collaborative bandit algorithms to illustrate the application of our solution framework. Theoretical analysis proves our derived private algorithms reduce the added regret caused by privacy-preserving mechanism compared to its linear bandits counterparts, i.e., collaboration actually helps to achieve stronger privacy with the same amount of injected noise. We also empirically evaluate the algorithms on both synthetic and real-world datasets to demonstrate the trade-off between privacy and utility.",https://doi.org/10.1145/3383313.3412254,"contextual bandits, collaborative learning, Differential privacy",recsys2020.bib
Goal-driven Command Recommendations for Analysts,"Aggarwal, Samarth and Garg, Rohin and Sancheti, Abhilasha and Guda, Bhanu Prakash Reddy and Burhanuddin, Iftikhar Ahamath",RECSYS,2020,"Recent times have seen data analytics software applications become an integral part of the decision-making process of analysts. The users of these software applications generate a vast amount of unstructured log data. These logs contain clues to the user’s goals, which traditional recommender systems may find difficult to model implicitly from the log data. With this assumption, we would like to assist the analytics process of a user through command recommendations. We categorize the commands into software and data categories based on their purpose to fulfill the task at hand. On the premise that the sequence of commands leading up to a data command is a good predictor of the latter, we design, develop, and validate various sequence modeling techniques. In this paper, we propose a framework to provide goal-driven data command recommendations to the user by leveraging unstructured logs. We use the log data of a web-based analytics software to train our neural network models and quantify their performance, in comparison to relevant and competitive baselines. We propose a custom loss function to tailor the recommended data commands according to the goal information provided exogenously. We also propose an evaluation metric that captures the degree of goal orientation of the recommendations. We demonstrate the promise of our approach by evaluating the models with the proposed metric and showcasing the robustness of our models in the case of adversarial examples, where the user activity is misaligned with selected goal, through offline evaluation.",https://doi.org/10.1145/3383313.3412255,"user goals, topic modeling, context-aware recommendation, command recommendation, application logs",recsys2020.bib
ImRec: Learning Reciprocal Preferences Using Images,"Neve, James and McConville, Ryan",RECSYS,2020,"Reciprocal Recommender Systems are recommender systems for social platforms that connect people to people. They are commonly used in online dating, social networks and recruitment services. The main difference between these and conventional user-item recommenders that might be found on, for example, a shopping service, is that they must consider the interests of both parties. In this study, we present a novel method of making reciprocal recommendations based on image data. Given a user’s history of positive and negative preference expressions on other users images, we train a siamese network to identify images that fit a user’s personal preferences. We provide an algorithm to interpret those individual preference indicators into a single reciprocal preference relation. Our evaluation was performed on a large real-world dataset provided by a popular online dating service. Based on this, our service significantly improves on previous state-of-the-art content-based solutions, and also out-performs collaborative filtering solutions in cold-start situations. The success of this model provides empirical evidence for the high importance of images in online dating.",https://doi.org/10.1145/3383313.3411476,"Social Recommendation, Siamese Networks, Reciprocal Recommender Systems, Content-Based Recommendation",recsys2020.bib
In-Store Augmented Reality-Enabled Product Comparison and Recommendation,"\'{A}lvarez M\'{a}rquez, Jes\'{u}s Omar and Ziegler, J\""{u}rgen",RECSYS,2020,"We present an approach combining the AR-based presentation of product attributes in a physical retail store with recommendations for items only available online. The system supports users’ decision-making process by offering functions for comparing product features between items, both physical and online, and by providing recommendations based on selecting in-store products. The physical products may thus serve as anchors for forming the user’s preferences, also offering a richer and more engaging experience when exploring the products hands-on. Both objective product attributes as well as the visual appearance of a physical product are employed for generating recommendations from the online space. In this way, the advantages of online and in-store shopping can be combined, creating novel multi-channel opportunities for businesses. An empirical evaluation showed that the comparison and recommendation functions were appreciated by users, and hinted some possible benefits of a hybrid physical-online shopping support system. Despite the limitations of the study, there is sufficient evidence to consider this a viable approach worth to be further explored.",https://doi.org/10.1145/3383313.3412266,"recommender systems, product comparison, preference construction, augmented reality",recsys2020.bib
Keeping Dataset Biases out of the Simulation: A Debiased Simulator for Reinforcement Learning based Recommender Systems,"Huang, Jin and Oosterhuis, Harrie and de Rijke, Maarten and van Hoof, Herke",RECSYS,2020,"Reinforcement learning for recommendation (RL4Rec) methods are increasingly receiving attention as an effective way to improve long-term user engagement. However, applying RL4Rec online comes with risks: exploration may lead to periods of detrimental user experience. Moreover, few researchers have access to real-world recommender systems. Simulations have been put forward as a solution where user feedback is simulated based on logged historical user data, thus enabling optimization and evaluation without being run online. While simulators do not risk the user experience and are widely accessible, we identify an important limitation of existing simulation methods. They ignore the interaction biases present in logged user data, and consequently, these biases affect the resulting simulation. As a solution to this issue, we introduce a debiasing step in the simulation pipeline, which corrects for the biases present in the logged data before it is used to simulate user behavior. To evaluate the effects of bias on RL4Rec simulations, we propose a novel evaluation approach for simulators that considers the performance of policies optimized with the simulator. Our results reveal that the biases from logged data negatively impact the resulting policies, unless corrected for with our debiasing method. While our debiasing methods can be applied to any simulator, we make our complete pipeline publicly available as the Simulator for OFfline leArning and evaluation (SOFA): the first simulator that accounts for interaction biases prior to optimization and evaluation.",https://doi.org/10.1145/3383313.3412252,"Simulation, Reinforcement learning, Recommender systems, Interaction bias",recsys2020.bib
KRED: Knowledge-Aware Document Representation for News Recommendations,"Liu, Danyang and Lian, Jianxun and Wang, Shiyin and Qiao, Ying and Chen, Jiun-Hung and Sun, Guangzhong and Xie, Xing",RECSYS,2020,"News articles usually contain knowledge entities such as celebrities or organizations. Important entities in articles carry key messages and help to understand the content in a more direct way. An industrial news recommender system contains various key applications, such as personalized recommendation, item-to-item recommendation, news category classification, news popularity prediction and local news detection. We find that incorporating knowledge entities for better document understanding benefits these applications consistently. However, existing document understanding models either represent news articles without considering knowledge entities (e.g., BERT) or rely on a specific type of text encoding model (e.g., DKN) so that the generalization ability and efficiency is compromised. In this paper, we propose KRED, which is a fast and effective model to enhance arbitrary document representation with a knowledge graph. KRED first enriches entities’ embeddings by attentively aggregating information from their neighborhood in the knowledge graph. Then a context embedding layer is applied to annotate the dynamic context of different entities such as frequency, category and position. Finally, an information distillation layer aggregates the entity embeddings under the guidance of the original document representation and transforms the document vector into a new one. We advocate to optimize the model with a multi-task framework, so that different news recommendation applications can be united and useful information can be shared across different tasks. Experiments on a real-world Microsoft News dataset demonstrate that KRED greatly benefits a variety of news recommendation applications.",https://doi.org/10.1145/3383313.3412237,"news recommender systems, knowledge-aware document representation, knowledge graphs",recsys2020.bib
Learning to Collaborate in Multi-Module Recommendation via Multi-Agent Reinforcement Learning without Communication,"HE, Xu and An, Bo and Li, Yanghua and Chen, Haikai and Wang, Rundong and Wang, Xinrun and Yu, Runsheng and Li, Xin and Wang, Zhirong",RECSYS,2020,"With the rise of online e-commerce platforms, more and more customers prefer to shop online. To sell more products, online platforms introduce various modules to recommend items with different properties such as huge discounts. A web page often consists of different independent modules. The ranking policies of these modules are decided by different teams and optimized individually without cooperation, which might result in competition between modules. Thus, the global policy of the whole page could be sub-optimal. In this paper, we propose a novel multi-agent cooperative reinforcement learning approach with the restriction that different modules cannot communicate. Our contributions are three-fold. Firstly, inspired by a solution concept in game theory named correlated equilibrium, we design a signal network to promote cooperation of all modules by generating signals (vectors) for different modules. Secondly, an entropy-regularized version of the signal network is proposed to coordinate agents’ exploration of the optimal global policy. Furthermore, experiments based on real-world e-commerce data demonstrate that our algorithm obtains superior performance over baselines.",https://doi.org/10.1145/3383313.3412233,Reinforcement learning,recsys2020.bib
Making Neural Networks Interpretable with Attribution: Application to Implicit Signals Prediction,"Afchar, Darius and Hennequin, Romain",RECSYS,2020,"Explaining recommendations enables users to understand whether recommended items are relevant to their needs and has been shown to increase their trust in the system. More generally, if designing explainable machine learning models is key to check the sanity and robustness of a decision process and improve their efficiency, it however remains a challenge for complex architectures, especially deep neural networks that are often deemed ”black-box”. In this paper, we propose a novel formulation of interpretable deep neural networks for the attribution task. Differently to popular post-hoc methods, our approach is interpretable by design. Using masked weights, hidden features can be deeply attributed, split into several input-restricted sub-networks and trained as a boosted mixture of experts. Experimental results on synthetic data and real-world recommendation tasks demonstrate that our method enables to build models achieving close predictive performances to their non-interpretable counterparts, while providing informative attribution interpretations.",https://doi.org/10.1145/3383313.3412253,"Interpretable machine learning, Implicit Recommender System",recsys2020.bib
MultiRec: A Multi-Relational Approach for Unique Item Recommendation in Auction Systems,"Rashed, Ahmed and Jawed, Shayan and Schmidt-Thieme, Lars and Hintsches, Andre",RECSYS,2020,"In auction-based systems such as in used car centers and online auction websites, users usually bid on items, and those items get sold to their highest bidders. In these settings, every item is unique and can be sold only once, which means users’ purchase histories will be unique, and no common items will exist across them. On the other hand, items will not have any historical sales at all. Such extreme settings pose a significant challenge to the current recommender systems models that rely on historical user-item interactions. While some of those models will not be applicable altogether, such as the matrix factorization models, neighborhood models, and even the naive most-popular model, the rest will need to rely only on items’ attributes. In this paper, we address the challenges of auction-based item recommendation by proposing a simple multi-relational recommender model (MultiRec) that can seamlessly leverage user and item attributes along with auxiliary relational information such as the user’s bidding history. Experiments on one proprietary dataset from Volkswagen Financial Services used-cars center, and on a real-world publicly available eBay dataset show that the proposed model significantly outperforms multiple state-of-art models in the task of auction-based unique item recommendation.",https://doi.org/10.1145/3383313.3412242,"Unique Item Recommendation, Multi-Relational Learning, Collaborative Filtering, Auction Systems, Attribute-Aware Recommender Systems",recsys2020.bib
